839.97719,4823,
841.18816,4847,
842.39891,4859,
843.60944,4843,
844.81975,4835,
846.02984,4832,
847.23971,4896,
848.44936,4889,
849.65879,4916,
850.868,4893,
852.07699,4857,
853.28576,4841,
854.49431,4829,
855.70264,4835,
856.91075,4836,
858.11864,4841,
859.32631,4840,
860.53376,4847,
861.741,4827,
862.94801,4847,
864.1548,4848,
865.36137,4833,
866.56772,4840,
867.77385,4838,
868.97976,4843,
870.18545,4856,
871.39092,4910,
872.59617,4916,
873.8012,4879,
875.00601,4827,
876.2106,4842,
877.41497,4828,
878.61913,4836,
879.82306,4837,
881.02677,4820,
882.23026,4825,
883.43353,4822,
884.63658,4820,
885.83941,4836,
887.04202,4836,
888.24441,4829,
889.44658,4823,
890.64854,4830,
891.85027,4819,
893.05178,4822,
894.25307,4837,
895.45414,4828,
896.65499,4827,
897.85562,4831,
899.05603,4818,
900.25623,4824,
901.4562,4827,
902.65595,4827,
903.85548,4824,
905.05479,4820,
906.25388,4826,
907.45276,4840,
908.65141,4823,
909.84984,4830,
911.04805,4829,
912.24604,4837,
913.44381,4834,
914.64137,4829,
915.8387,4832,
917.03581,4836,
918.2327,4829,
919.42937,4831,
920.62582,4833,
921.82206,4850,
923.01807,4841,
924.21386,4837,
925.40943,4832,
926.60478,4843,
927.79992,4820,
928.99483,4839,
930.18952,4837,
931.38399,4847,
932.57825,4834,
933.77228,4834,
934.96609,4845,
936.15968,4836,
937.35305,4833,
938.54621,4836,
939.73914,4830,
940.93185,4838,
942.12434,4828,
943.31662,4838,
944.50867,4823,
945.7005,4830,
946.89211,4842,
948.08351,4829,
949.27468,4843,
950.46563,4851,
951.65636,4829,
952.84688,4822,
954.03717,4841,
955.22724,4831,
956.41709,4834,
957.60673,4842,
958.79614,4816,
959.98533,4831,
961.17431,4832,
962.36306,4825,
963.55159,4823,
964.7399,4822,
965.928,4842,
967.11587,4819,
968.30352,4849,
969.49096,4825,
970.67817,4851,
971.86516,4827,
973.05194,4819,
974.23849,4831,
975.42482,4821,
976.61094,4830,
977.79683,4825,
978.9825,4834,
980.16795,4831,
981.35319,4845,
982.5382,4834,
983.72299,4816,
984.90757,4829,
986.09192,4829,
987.27606,4832,
988.45997,4839,
989.64366,4837,
990.82714,4837,
992.01039,4845,
993.19342,4828,
994.37624,4821,
995.55883,4842,
996.7412,4830,
997.92336,4822,
999.10529,4820,
1000.287,4822,
1001.4685,4818,
1002.6498,4819,
1003.8308,4827,
