# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
7.039204707E+00  1.477974296E+00
7.045780331E+00  2.377500057E+00
7.052355954E+00  2.268862724E+00
7.058931577E+00  3.237807512E+00
7.065507200E+00  3.905733585E+00
7.072082824E+00  4.382817745E+00
7.078658447E+00  4.385441780E+00
7.085234070E+00  3.960067511E+00
7.091809693E+00  3.723469496E+00
7.098385317E+00  2.942809105E+00
7.104960940E+00  1.747058153E+00
7.111536563E+00  1.462934494E+00
7.118112186E+00  2.895173311E+00
7.124687810E+00  4.102404118E+00
7.131263433E+00  4.606622696E+00
7.137839056E+00  3.344362020E+00
7.144414680E+00  2.593448877E+00
7.150990303E+00  6.385325789E-01
7.157565926E+00  9.834873080E-01
7.164141549E+00  2.329440117E+00
7.170717173E+00  2.423405647E+00
7.177292796E+00  2.181822300E+00
7.183868419E+00  1.684695601E+00
7.190444042E+00  2.048158646E+00
7.197019666E+00  3.206212759E+00
7.203595289E+00  3.982018709E+00
7.210170912E+00  3.133798122E+00
7.216746535E+00  2.875832081E+00
7.223322159E+00  1.763228416E+00
7.229897782E+00  2.998076200E+00
7.236473405E+00  3.868901253E+00
7.243049029E+00  5.479671001E+00
7.249624652E+00  5.852335453E+00
7.256200275E+00  5.302315712E+00
7.262775898E+00  4.731472492E+00
7.269351522E+00  3.856623173E+00
7.275927145E+00  3.523505211E+00
7.282502768E+00  2.324940205E+00
7.289078391E+00  2.059327364E+00
7.295654015E+00  3.040214300E+00
7.302229638E+00  3.855570316E+00
7.308805261E+00  4.139270782E+00
