# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  1.774085918E-03
6.006831854E+00  -4.372887779E-03
6.013407478E+00  -3.737531602E-02
6.019983101E+00  1.188449189E-01
6.026558724E+00  3.768038005E-02
6.033134347E+00  -3.410126567E-01
6.039709971E+00  2.604071796E-02
6.046285594E+00  1.532016277E+00
6.052861217E+00  1.576708794E+00
6.059436840E+00  5.978916883E-01
6.066012464E+00  5.674985051E-01
6.072588087E+00  7.101661991E-03
6.079163710E+00  5.310411453E-01
6.085739334E+00  7.279753089E-01
6.092314957E+00  4.720697105E-01
6.098890580E+00  7.615974545E-01
6.105466203E+00  1.270540953E+00
6.112041827E+00  9.734950066E-01
6.118617450E+00  7.670528889E-01
6.125193073E+00  -3.193073571E-01
6.131768696E+00  -2.256418467E-01
6.138344320E+00  5.733927488E-01
6.144919943E+00  1.563112020E+00
6.151495566E+00  1.962748766E+00
6.158071190E+00  1.480058074E+00
6.164646813E+00  8.963599205E-01
6.171222436E+00  1.171646237E+00
6.177798059E+00  2.557941675E+00
6.184373683E+00  2.972983599E+00
6.190949306E+00  3.065202236E+00
6.197524929E+00  3.198545456E+00
6.204100552E+00  4.155734539E+00
6.210676176E+00  4.739858150E+00
6.217251799E+00  4.734715462E+00
6.223827422E+00  5.134513855E+00
6.230403045E+00  4.882872581E+00
6.236978669E+00  4.132323742E+00
6.243554292E+00  3.081422567E+00
6.250129915E+00  3.652868271E+00
6.256705539E+00  4.461857796E+00
6.263281162E+00  5.147907734E+00
6.269856785E+00  4.678795338E+00
6.276432408E+00  5.072430611E+00
6.283008032E+00  5.042044163E+00
6.289583655E+00  4.293211937E+00
6.296159278E+00  2.210042715E+00
6.302734901E+00  2.178087950E+00
