# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  -6.717410404E-03
6.006831854E+00  1.864383183E-02
6.013407478E+00  -2.556330338E-02
6.019983101E+00  1.198678836E-01
6.026558724E+00  -2.566248178E-01
6.033134347E+00  1.527829468E-01
6.039709971E+00  -1.908553392E-01
6.046285594E+00  4.075501263E-01
6.052861217E+00  1.986860931E-01
6.059436840E+00  -5.665036440E-01
6.066012464E+00  -5.921582878E-02
6.072588087E+00  -3.482149541E-02
6.079163710E+00  6.329774857E-01
6.085739334E+00  2.915447950E+00
6.092314957E+00  3.855133533E+00
6.098890580E+00  4.590129375E+00
6.105466203E+00  5.644853115E+00
6.112041827E+00  6.668452740E+00
6.118617450E+00  6.052817345E+00
6.125193073E+00  4.109447002E+00
6.131768696E+00  2.258579254E+00
6.138344320E+00  1.448549509E+00
6.144919943E+00  2.616268158E+00
6.151495566E+00  3.222498894E+00
6.158071190E+00  4.204509258E+00
6.164646813E+00  4.272460938E+00
6.171222436E+00  4.371009350E+00
6.177798059E+00  4.724344254E+00
6.184373683E+00  4.282846928E+00
6.190949306E+00  3.591244698E+00
6.197524929E+00  3.687738180E+00
6.204100552E+00  4.677500248E+00
6.210676176E+00  5.620262146E+00
6.217251799E+00  6.314054012E+00
6.223827422E+00  7.676516533E+00
6.230403045E+00  7.031875134E+00
6.236978669E+00  7.366530418E+00
6.243554292E+00  6.534415245E+00
6.250129915E+00  5.185761929E+00
6.256705539E+00  3.914107323E+00
6.263281162E+00  3.216964245E+00
6.269856785E+00  3.162229776E+00
6.276432408E+00  3.072333813E+00
6.283008032E+00  2.619683266E+00
6.289583655E+00  1.926677942E+00
6.296159278E+00  2.528467655E+00
6.302734901E+00  5.170639992E+00
6.309310525E+00  7.001919270E+00
6.315886148E+00  8.277615547E+00
6.322461771E+00  7.877065659E+00
6.329037394E+00  7.918769836E+00
6.335613018E+00  7.021316051E+00
6.342188641E+00  6.787745953E+00
6.348764264E+00  6.864904404E+00
6.355339888E+00  7.755270481E+00
6.361915511E+00  9.418849945E+00
6.368491134E+00  8.546712875E+00
6.375066757E+00  7.293277264E+00
6.381642381E+00  6.671670914E+00
6.388218004E+00  7.562119961E+00
6.394793627E+00  7.400734901E+00
6.401369250E+00  6.477405071E+00
6.407944874E+00  5.942895412E+00
6.414520497E+00  5.461430550E+00
6.421096120E+00  4.217501163E+00
6.427671743E+00  3.818160295E+00
6.434247367E+00  4.219970703E+00
6.440822990E+00  4.317314625E+00
6.447398613E+00  4.166695118E+00
6.453974237E+00  5.150000095E+00
6.460549860E+00  5.794517994E+00
6.467125483E+00  6.018740654E+00
6.473701106E+00  7.171641827E+00
6.480276730E+00  6.963080883E+00
6.486852353E+00  7.850032806E+00
6.493427976E+00  8.899394989E+00
6.500003599E+00  8.919114113E+00
6.506579223E+00  8.475802422E+00
6.513154846E+00  8.428710938E+00
6.519730469E+00  7.796230793E+00
6.526306092E+00  7.861161709E+00
6.532881716E+00  6.424416542E+00
6.539457339E+00  5.633182049E+00
6.546032962E+00  4.684318542E+00
6.552608586E+00  5.540688992E+00
6.559184209E+00  5.045184135E+00
6.565759832E+00  5.459543705E+00
6.572335455E+00  4.302970886E+00
6.578911079E+00  3.837471962E+00
6.585486702E+00  3.921347380E+00
6.592062325E+00  4.548961163E+00
6.598637948E+00  4.781376362E+00
6.605213572E+00  5.292706966E+00
