# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  1.095072739E-02
6.006831854E+00  -6.424818188E-02
6.013407478E+00  1.156092361E-01
6.019983101E+00  -2.252643555E-02
6.026558724E+00  -1.082513779E-01
6.033134347E+00  5.000464991E-02
6.039709971E+00  4.813714698E-02
6.046285594E+00  -2.140077353E-01
6.052861217E+00  3.620495200E-01
6.059436840E+00  3.372576088E-02
6.066012464E+00  -2.651219964E-01
6.072588087E+00  -2.239967436E-01
6.079163710E+00  6.249554157E-01
6.085739334E+00  -2.391903847E-01
6.092314957E+00  -1.904701442E-01
6.098890580E+00  5.653561559E-03
6.105466203E+00  2.139951706E+00
6.112041827E+00  2.786441088E+00
6.118617450E+00  3.880862474E+00
6.125193073E+00  2.796390057E+00
6.131768696E+00  2.298907042E+00
6.138344320E+00  1.279440880E+00
6.144919943E+00  7.180626988E-01
6.151495566E+00  -4.573255181E-01
6.158071190E+00  2.576478124E-01
6.164646813E+00  1.814966798E+00
6.171222436E+00  3.507602453E+00
6.177798059E+00  4.752349377E+00
6.184373683E+00  6.000466824E+00
6.190949306E+00  6.314252853E+00
6.197524929E+00  5.265039444E+00
6.204100552E+00  3.696936369E+00
6.210676176E+00  2.724568605E+00
6.217251799E+00  2.177199602E+00
6.223827422E+00  2.101754189E+00
6.230403045E+00  3.012163162E+00
6.236978669E+00  3.818047762E+00
6.243554292E+00  5.206828594E+00
6.250129915E+00  5.799495697E+00
6.256705539E+00  6.297512054E+00
6.263281162E+00  7.060753822E+00
6.269856785E+00  6.579366207E+00
6.276432408E+00  5.429615974E+00
6.283008032E+00  5.409081936E+00
6.289583655E+00  5.231811047E+00
6.296159278E+00  5.204134941E+00
6.302734901E+00  5.092596531E+00
6.309310525E+00  4.935975552E+00
6.315886148E+00  4.695471764E+00
6.322461771E+00  4.817535400E+00
6.329037394E+00  6.282342434E+00
6.335613018E+00  6.807603359E+00
6.342188641E+00  7.579527378E+00
6.348764264E+00  7.170353413E+00
6.355339888E+00  7.168324947E+00
6.361915511E+00  6.920475960E+00
6.368491134E+00  6.946086884E+00
6.375066757E+00  5.237097263E+00
6.381642381E+00  4.788245678E+00
