# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  1.288062036E-01
6.006831854E+00  -6.210269928E-01
6.013407478E+00  8.839943409E-01
6.019983101E+00  -1.569792777E-01
6.026558724E+00  -3.983950987E-02
6.033134347E+00  -5.700373054E-01
6.039709971E+00  -2.563484609E-01
6.046285594E+00  2.597362995E-01
6.052861217E+00  1.461007714E+00
6.059436840E+00  2.500233889E+00
6.066012464E+00  3.134369373E+00
6.072588087E+00  2.982441425E+00
6.079163710E+00  3.810818911E+00
6.085739334E+00  4.573992729E+00
6.092314957E+00  4.841553211E+00
6.098890580E+00  4.018712521E+00
6.105466203E+00  3.488044262E+00
6.112041827E+00  3.568256140E+00
6.118617450E+00  3.680811405E+00
6.125193073E+00  4.330532074E+00
6.131768696E+00  3.952105522E+00
6.138344320E+00  3.984578848E+00
6.144919943E+00  2.211291552E+00
6.151495566E+00  7.704275250E-01
6.158071190E+00  9.312065244E-01
6.164646813E+00  1.125665903E+00
6.171222436E+00  1.397882938E+00
6.177798059E+00  2.303891659E+00
6.184373683E+00  2.430593729E+00
6.190949306E+00  1.912393808E+00
6.197524929E+00  1.331753135E+00
6.204100552E+00  2.839762270E-01
6.210676176E+00  3.826467991E-01
6.217251799E+00  -2.908526361E-01
6.223827422E+00  1.114905626E-01
6.230403045E+00  1.629201770E+00
6.236978669E+00  2.653927565E+00
6.243554292E+00  2.084066391E+00
6.250129915E+00  2.234358072E+00
6.256705539E+00  3.035751343E+00
6.263281162E+00  2.777655840E+00
6.269856785E+00  1.856597066E+00
6.276432408E+00  2.724309921E+00
6.283008032E+00  1.879446149E+00
6.289583655E+00  5.185768604E-01
6.296159278E+00  -2.343391031E-01
6.302734901E+00  1.291256547E+00
6.309310525E+00  2.567585468E+00
6.315886148E+00  3.902054548E+00
6.322461771E+00  4.500243187E+00
6.329037394E+00  4.709270477E+00
6.335613018E+00  3.392017126E+00
6.342188641E+00  2.365818501E+00
6.348764264E+00  3.268939257E+00
6.355339888E+00  2.453961134E+00
6.361915511E+00  2.328747272E+00
6.368491134E+00  1.388145447E+00
6.375066757E+00  1.101222515E+00
6.381642381E+00  1.102017045E+00
6.388218004E+00  1.780719757E+00
6.394793627E+00  1.867798090E+00
6.401369250E+00  2.022769690E+00
6.407944874E+00  2.130979776E+00
6.414520497E+00  2.278829098E+00
6.421096120E+00  2.422828674E+00
6.427671743E+00  2.978789091E+00
6.434247367E+00  4.269132137E+00
6.440822990E+00  4.736286640E+00
6.447398613E+00  6.021283627E+00
6.453974237E+00  7.066502571E+00
6.460549860E+00  6.696418762E+00
6.467125483E+00  6.117288589E+00
6.473701106E+00  5.796216965E+00
6.480276730E+00  4.482317448E+00
6.486852353E+00  3.584811211E+00
6.493427976E+00  3.306748152E+00
6.500003599E+00  2.006772041E+00
6.506579223E+00  1.710801005E+00
6.513154846E+00  3.013373852E+00
6.519730469E+00  4.492686272E+00
6.526306092E+00  6.001615047E+00
6.532881716E+00  5.325459003E+00
6.539457339E+00  4.075037956E+00
6.546032962E+00  3.792204857E+00
6.552608586E+00  3.741394997E+00
6.559184209E+00  5.266118050E+00
6.565759832E+00  6.204531670E+00
6.572335455E+00  7.285477638E+00
6.578911079E+00  7.548926830E+00
6.585486702E+00  7.509580612E+00
6.592062325E+00  7.325832367E+00
6.598637948E+00  6.163059711E+00
6.605213572E+00  5.532489777E+00
6.611789195E+00  5.859063148E+00
6.618364818E+00  6.137179375E+00
6.624940441E+00  5.493666172E+00
6.631516065E+00  5.644782066E+00
6.638091688E+00  5.574414253E+00
6.644667311E+00  5.755241394E+00
6.651242935E+00  4.392355919E+00
6.657818558E+00  3.200585127E+00
6.664394181E+00  3.116868734E+00
6.670969804E+00  3.076121330E+00
6.677545428E+00  3.673814774E+00
6.684121051E+00  3.822221279E+00
6.690696674E+00  3.105879068E+00
6.697272297E+00  3.179542065E+00
6.703847921E+00  3.191039562E+00
6.710423544E+00  4.397984028E+00
6.716999167E+00  4.556457996E+00
6.723574790E+00  5.040657997E+00
6.730150414E+00  4.634414673E+00
6.736726037E+00  3.924278498E+00
6.743301660E+00  2.680396557E+00
6.749877284E+00  3.231038809E+00
6.756452907E+00  2.650602818E+00
6.763028530E+00  3.470073938E+00
6.769604153E+00  3.958773613E+00
6.776179777E+00  5.129249096E+00
6.782755400E+00  5.612764359E+00
6.789331023E+00  7.430297375E+00
6.795906646E+00  8.340194702E+00
6.802482270E+00  6.251738548E+00
6.809057893E+00  6.009810448E+00
6.815633516E+00  5.301619530E+00
6.822209139E+00  3.278272152E+00
6.828784763E+00  2.772050858E+00
6.835360386E+00  3.227062464E+00
6.841936009E+00  5.501476288E+00
6.848511633E+00  5.271809101E+00
6.855087256E+00  6.535845757E+00
6.861662879E+00  7.522298336E+00
