# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  -1.483494509E-02
6.006831854E+00  7.656583190E-02
6.013407478E+00  -1.431543380E-01
6.019983101E+00  1.499487460E-01
6.026558724E+00  -1.812547445E-01
6.033134347E+00  1.203468516E-01
6.039709971E+00  1.402730346E-01
6.046285594E+00  5.010859575E-03
6.052861217E+00  -4.263663888E-01
6.059436840E+00  1.904131025E-01
6.066012464E+00  1.011815548E+00
6.072588087E+00  1.164333701E+00
6.079163710E+00  1.350969672E+00
6.085739334E+00  1.957769990E+00
6.092314957E+00  2.415565491E+00
6.098890580E+00  3.025574446E+00
6.105466203E+00  2.426836252E+00
6.112041827E+00  1.531969547E+00
6.118617450E+00  8.260782361E-01
6.125193073E+00  2.101272345E+00
6.131768696E+00  2.912070990E+00
6.138344320E+00  2.251561165E+00
6.144919943E+00  1.583618999E+00
6.151495566E+00  2.370062590E+00
6.158071190E+00  4.139960766E+00
6.164646813E+00  5.383605957E+00
6.171222436E+00  5.164928913E+00
6.177798059E+00  5.330253124E+00
6.184373683E+00  5.161468983E+00
6.190949306E+00  5.746543884E+00
6.197524929E+00  5.639341354E+00
6.204100552E+00  7.396374226E+00
6.210676176E+00  6.898190498E+00
6.217251799E+00  5.173167706E+00
6.223827422E+00  1.719069958E+00
6.230403045E+00  1.291864395E+00
6.236978669E+00  2.948621213E-01
6.243554292E+00  2.031371832E+00
6.250129915E+00  1.765701771E+00
6.256705539E+00  1.977034092E+00
6.263281162E+00  1.061059833E+00
6.269856785E+00  1.974735141E+00
6.276432408E+00  4.127627850E+00
6.283008032E+00  6.415358067E+00
6.289583655E+00  4.884883404E+00
6.296159278E+00  3.863159418E+00
6.302734901E+00  3.541376114E+00
6.309310525E+00  4.203719139E+00
6.315886148E+00  4.986895561E+00
6.322461771E+00  6.260998249E+00
6.329037394E+00  6.819936275E+00
6.335613018E+00  5.506680965E+00
6.342188641E+00  5.329968929E+00
6.348764264E+00  4.868842602E+00
6.355339888E+00  5.274117470E+00
6.361915511E+00  5.809157848E+00
6.368491134E+00  6.914087772E+00
6.375066757E+00  6.635481834E+00
