# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  4.523873329E-02
6.006831854E+00  -1.371381432E-01
6.013407478E+00  -1.155586019E-01
6.019983101E+00  5.950474143E-01
6.026558724E+00  -4.269544967E-03
6.033134347E+00  -5.427772403E-01
6.039709971E+00  -8.993797302E-01
6.046285594E+00  8.599740863E-01
6.052861217E+00  1.361980796E+00
6.059436840E+00  1.611173868E+00
6.066012464E+00  5.379141569E-01
6.072588087E+00  7.736728787E-01
6.079163710E+00  8.583844900E-01
6.085739334E+00  1.125025392E+00
6.092314957E+00  2.035792112E+00
6.098890580E+00  1.975352049E+00
6.105466203E+00  2.874210358E+00
6.112041827E+00  2.943729639E+00
6.118617450E+00  3.810912132E+00
6.125193073E+00  4.141625404E+00
6.131768696E+00  3.818803310E+00
6.138344320E+00  2.779322147E+00
6.144919943E+00  2.417905807E+00
6.151495566E+00  2.153360367E+00
6.158071190E+00  1.971956849E+00
6.164646813E+00  1.462560177E+00
6.171222436E+00  1.446210623E+00
6.177798059E+00  1.964286685E+00
6.184373683E+00  1.254395843E+00
6.190949306E+00  2.755068541E-01
6.197524929E+00  7.348979264E-02
6.204100552E+00  -2.050388418E-02
6.210676176E+00  -1.622550040E-01
6.217251799E+00  -8.210096359E-01
6.223827422E+00  2.103277855E-02
6.230403045E+00  5.283566117E-01
6.236978669E+00  2.424039602E+00
