# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  2.751071565E-02
6.006831854E+00  -1.843679398E-01
6.013407478E+00  3.941898942E-01
6.019983101E+00  -1.438832730E-01
6.026558724E+00  -4.175637662E-01
6.033134347E+00  1.903991103E-01
6.039709971E+00  2.435929477E-01
6.046285594E+00  2.343240082E-01
6.052861217E+00  -2.779870629E-01
6.059436840E+00  -2.029540241E-01
6.066012464E+00  8.157543093E-02
6.072588087E+00  1.854325652E+00
6.079163710E+00  2.783469677E+00
6.085739334E+00  4.058963299E+00
6.092314957E+00  3.707622528E+00
6.098890580E+00  2.420020103E+00
6.105466203E+00  1.734780312E+00
6.112041827E+00  1.404539227E+00
6.118617450E+00  1.958194017E+00
6.125193073E+00  2.096745253E+00
6.131768696E+00  1.471927404E+00
6.138344320E+00  1.757932067E+00
6.144919943E+00  3.731142759E+00
6.151495566E+00  4.088168144E+00
6.158071190E+00  3.510515451E+00
6.164646813E+00  2.514447927E+00
6.171222436E+00  2.260700703E+00
6.177798059E+00  2.018552065E+00
6.184373683E+00  2.472191095E+00
6.190949306E+00  3.222831488E+00
6.197524929E+00  5.413220882E+00
6.204100552E+00  1.145779514E+01
6.210676176E+00  1.314732075E+01
6.217251799E+00  1.235263348E+01
6.223827422E+00  1.099298096E+01
6.230403045E+00  7.445176125E+00
6.236978669E+00  4.276581287E+00
6.243554292E+00  2.936608076E+00
6.250129915E+00  2.367641211E+00
6.256705539E+00  2.156188726E+00
6.263281162E+00  2.591667414E+00
6.269856785E+00  3.213382006E+00
6.276432408E+00  4.720454693E+00
6.283008032E+00  5.241542339E+00
6.289583655E+00  4.734133720E+00
6.296159278E+00  3.704126835E+00
6.302734901E+00  3.405609608E+00
6.309310525E+00  3.863404512E+00
6.315886148E+00  3.936402082E+00
6.322461771E+00  3.581367493E+00
6.329037394E+00  3.797693491E+00
6.335613018E+00  4.020925522E+00
6.342188641E+00  6.102506161E+00
6.348764264E+00  7.054934978E+00
6.355339888E+00  8.201249123E+00
6.361915511E+00  7.919491768E+00
6.368491134E+00  8.374249458E+00
6.375066757E+00  8.110490799E+00
6.381642381E+00  9.528742790E+00
6.388218004E+00  9.803127289E+00
6.394793627E+00  1.002422714E+01
6.401369250E+00  9.519181252E+00
6.407944874E+00  9.124883652E+00
6.414520497E+00  8.573223114E+00
6.421096120E+00  8.441246986E+00
6.427671743E+00  8.380612373E+00
6.434247367E+00  8.709088326E+00
6.440822990E+00  7.928813457E+00
6.447398613E+00  7.059004784E+00
6.453974237E+00  5.493821621E+00
6.460549860E+00  5.935186863E+00
6.467125483E+00  5.697687149E+00
6.473701106E+00  6.345516682E+00
6.480276730E+00  7.184657097E+00
6.486852353E+00  8.116152763E+00
6.493427976E+00  8.718642235E+00
6.500003599E+00  8.608980179E+00
6.506579223E+00  7.484984875E+00
6.513154846E+00  7.548813343E+00
6.519730469E+00  7.891758919E+00
6.526306092E+00  9.074852943E+00
6.532881716E+00  1.102610970E+01
6.539457339E+00  1.184841633E+01
6.546032962E+00  1.125582981E+01
6.552608586E+00  1.071201992E+01
6.559184209E+00  1.023520851E+01
6.565759832E+00  8.970923424E+00
6.572335455E+00  8.292090416E+00
6.578911079E+00  8.079295158E+00
6.585486702E+00  8.538146973E+00
6.592062325E+00  7.792525768E+00
6.598637948E+00  7.426794529E+00
6.605213572E+00  7.424741268E+00
6.611789195E+00  8.517213821E+00
6.618364818E+00  9.134003639E+00
6.624940441E+00  9.934592247E+00
6.631516065E+00  9.804715157E+00
6.638091688E+00  9.636871338E+00
6.644667311E+00  8.730466843E+00
6.651242935E+00  8.646054268E+00
6.657818558E+00  8.493914604E+00
6.664394181E+00  9.295634270E+00
6.670969804E+00  7.899884224E+00
6.677545428E+00  6.611342430E+00
6.684121051E+00  6.269560814E+00
6.690696674E+00  5.975789547E+00
6.697272297E+00  5.245579720E+00
6.703847921E+00  4.778085232E+00
6.710423544E+00  5.539816856E+00
6.716999167E+00  6.604255199E+00
6.723574790E+00  7.586919308E+00
6.730150414E+00  7.199083328E+00
6.736726037E+00  6.796857357E+00
6.743301660E+00  5.323813438E+00
6.749877284E+00  5.461133480E+00
6.756452907E+00  4.823163033E+00
6.763028530E+00  5.507941246E+00
6.769604153E+00  5.957547188E+00
6.776179777E+00  5.967123032E+00
6.782755400E+00  4.456836700E+00
6.789331023E+00  3.794869900E+00
6.795906646E+00  4.675580502E+00
6.802482270E+00  4.769638062E+00
6.809057893E+00  4.698135376E+00
6.815633516E+00  5.305772305E+00
6.822209139E+00  5.603476048E+00
6.828784763E+00  4.908285141E+00
6.835360386E+00  3.562586069E+00
6.841936009E+00  4.222437859E+00
6.848511633E+00  5.101713181E+00
6.855087256E+00  4.989187717E+00
6.861662879E+00  4.082283974E+00
6.868238502E+00  2.777112246E+00
6.874814126E+00  1.152851701E+00
6.881389749E+00  2.314284563E+00
6.887965372E+00  4.291460991E+00
6.894540995E+00  5.578524113E+00
6.901116619E+00  6.169606209E+00
6.907692242E+00  5.931149483E+00
6.914267865E+00  5.781356812E+00
6.920843488E+00  5.472179413E+00
6.927419112E+00  4.388881683E+00
6.933994735E+00  2.805665016E+00
6.940570358E+00  1.389572859E+00
6.947145982E+00  1.699519992E+00
6.953721605E+00  2.354994059E+00
6.960297228E+00  2.882736444E+00
6.966872851E+00  3.413763523E+00
6.973448475E+00  3.131608248E+00
6.980024098E+00  2.750833273E+00
6.986599721E+00  1.751648784E+00
6.993175344E+00  7.517354488E-01
6.999750968E+00  -4.478353262E-02
7.006326591E+00  3.987479806E-01
7.012902214E+00  3.829127550E-01
7.019477837E+00  -2.101560086E-01
7.026053461E+00  -5.276171565E-01
7.032629084E+00  3.068739735E-02
7.039204707E+00  4.289298952E-01
7.045780331E+00  4.376780093E-01
7.052355954E+00  2.179059744E+00
