# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  6.316762418E-02
6.006831854E+00  -3.376104236E-01
6.013407478E+00  5.095654726E-01
6.019983101E+00  6.318518519E-02
6.026558724E+00  -3.579323590E-01
6.033134347E+00  -5.965290666E-01
6.039709971E+00  4.990654588E-01
6.046285594E+00  1.068004251E+00
6.052861217E+00  9.817202687E-01
6.059436840E+00  8.056159019E-01
6.066012464E+00  1.451697588E+00
6.072588087E+00  9.571652412E-01
6.079163710E+00  3.894433379E-01
6.085739334E+00  1.343948245E+00
6.092314957E+00  2.390636921E+00
6.098890580E+00  3.404765606E+00
6.105466203E+00  3.726620436E+00
6.112041827E+00  4.397038460E+00
6.118617450E+00  3.323396921E+00
6.125193073E+00  1.720077515E+00
6.131768696E+00  -3.087961972E-01
6.138344320E+00  -1.228749394E+00
6.144919943E+00  -2.612306774E-01
6.151495566E+00  1.294278145E+00
6.158071190E+00  1.564365625E+00
6.164646813E+00  1.094125032E+00
6.171222436E+00  9.354241490E-01
6.177798059E+00  2.827887833E-01
6.184373683E+00  8.965260983E-01
6.190949306E+00  4.513766170E-01
6.197524929E+00  -5.454283357E-01
6.204100552E+00  -8.308671117E-01
6.210676176E+00  -1.953637302E-01
6.217251799E+00  1.348565519E-01
6.223827422E+00  -2.057798803E-01
6.230403045E+00  5.606502891E-01
6.236978669E+00  8.545061350E-01
6.243554292E+00  1.311249733E+00
6.250129915E+00  1.638508916E+00
6.256705539E+00  1.845900774E+00
6.263281162E+00  2.823192358E+00
6.269856785E+00  1.494583726E+00
