# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  1.614062302E-02
6.006831854E+00  -9.579797834E-02
6.013407478E+00  2.275424302E-01
6.019983101E+00  -2.767190337E-01
6.026558724E+00  1.780738384E-01
6.033134347E+00  -1.369962003E-02
6.039709971E+00  -2.021813095E-01
6.046285594E+00  5.426591635E-01
6.052861217E+00  5.013419390E-01
6.059436840E+00  1.274571419E+00
6.066012464E+00  2.706458807E+00
6.072588087E+00  2.279692650E+00
6.079163710E+00  1.767583966E+00
6.085739334E+00  -9.260430187E-02
6.092314957E+00  1.713789701E-01
6.098890580E+00  -4.436587691E-01
6.105466203E+00  -5.520727634E-01
6.112041827E+00  -9.866066277E-03
6.118617450E+00  6.669808626E-01
6.125193073E+00  3.323656619E-01
6.131768696E+00  4.886592627E-01
6.138344320E+00  2.865006328E-01
6.144919943E+00  -4.694389179E-02
6.151495566E+00  -3.194953799E-01
6.158071190E+00  2.622137964E-01
6.164646813E+00  1.055439353E+00
6.171222436E+00  1.654662251E+00
6.177798059E+00  3.140968800E+00
6.184373683E+00  4.451906204E+00
6.190949306E+00  7.397249699E+00
6.197524929E+00  8.299999237E+00
6.204100552E+00  7.937746048E+00
6.210676176E+00  6.383352757E+00
6.217251799E+00  6.491128445E+00
6.223827422E+00  4.861544609E+00
6.230403045E+00  4.971548557E+00
6.236978669E+00  3.472447157E+00
6.243554292E+00  2.761807203E+00
6.250129915E+00  3.209009886E+00
6.256705539E+00  4.081560612E+00
6.263281162E+00  5.125505447E+00
6.269856785E+00  6.718636990E+00
6.276432408E+00  6.942412376E+00
6.283008032E+00  7.300846577E+00
6.289583655E+00  6.051196575E+00
6.296159278E+00  6.059777737E+00
6.302734901E+00  6.594748974E+00
6.309310525E+00  6.851297379E+00
6.315886148E+00  9.291971207E+00
6.322461771E+00  1.117864227E+01
6.329037394E+00  1.157538891E+01
6.335613018E+00  1.005108261E+01
6.342188641E+00  9.821166039E+00
6.348764264E+00  7.579868317E+00
6.355339888E+00  7.241358280E+00
6.361915511E+00  6.635252953E+00
6.368491134E+00  7.389150143E+00
6.375066757E+00  6.935197830E+00
6.381642381E+00  6.931471825E+00
6.388218004E+00  6.315935135E+00
6.394793627E+00  6.149470806E+00
6.401369250E+00  6.180601597E+00
6.407944874E+00  6.700744152E+00
6.414520497E+00  6.536673546E+00
6.421096120E+00  7.076675415E+00
6.427671743E+00  7.418039799E+00
6.434247367E+00  8.062153816E+00
6.440822990E+00  7.628878117E+00
6.447398613E+00  6.798209667E+00
6.453974237E+00  7.791246414E+00
6.460549860E+00  7.902659893E+00
6.467125483E+00  6.983842373E+00
6.473701106E+00  6.601343155E+00
6.480276730E+00  6.874014854E+00
6.486852353E+00  6.373871803E+00
6.493427976E+00  6.895851612E+00
6.500003599E+00  8.397977829E+00
6.506579223E+00  9.004520416E+00
6.513154846E+00  9.460081100E+00
6.519730469E+00  9.094182014E+00
6.526306092E+00  9.550748825E+00
6.532881716E+00  8.390155792E+00
6.539457339E+00  7.663445473E+00
6.546032962E+00  6.916234970E+00
6.552608586E+00  5.811038494E+00
6.559184209E+00  5.516187668E+00
6.565759832E+00  6.063510418E+00
6.572335455E+00  6.600048542E+00
6.578911079E+00  6.967659950E+00
6.585486702E+00  7.096583843E+00
6.592062325E+00  6.788897991E+00
6.598637948E+00  6.802268028E+00
6.605213572E+00  7.842630863E+00
6.611789195E+00  7.756093979E+00
6.618364818E+00  8.537970543E+00
6.624940441E+00  9.205829620E+00
6.631516065E+00  1.017278385E+01
6.638091688E+00  1.155534744E+01
6.644667311E+00  1.159994888E+01
6.651242935E+00  1.024615192E+01
6.657818558E+00  8.777776718E+00
6.664394181E+00  7.362684250E+00
6.670969804E+00  6.018102646E+00
6.677545428E+00  5.049096584E+00
6.684121051E+00  5.366187572E+00
6.690696674E+00  5.196774960E+00
6.697272297E+00  5.020431995E+00
6.703847921E+00  3.754941463E+00
6.710423544E+00  3.324650288E+00
6.716999167E+00  2.925118923E+00
6.723574790E+00  2.374684572E+00
6.730150414E+00  6.349710226E-01
6.736726037E+00  1.434671044E+00
6.743301660E+00  1.019550443E+00
6.749877284E+00  1.960801840E+00
6.756452907E+00  2.908224106E+00
6.763028530E+00  4.817277431E+00
6.769604153E+00  6.357780457E+00
6.776179777E+00  5.393406391E+00
6.782755400E+00  4.795896530E+00
